[351, 415]
[378, 426]
[445, 437]
[378, 456]
[443, 398]
[336, 387]
[422, 421]
[390, 389]
[437, 312]
[405, 461]
[354, 473]
[385, 342]
[466, 413]
[318, 472]
[466, 347]
[463, 379]
[500, 418]
[428, 602]
[342, 442]
[508, 498]
[375, 311]
[357, 373]
[435, 464]
[382, 259]
[325, 416]
[336, 512]
[433, 361]
[355, 567]
[499, 294]
[415, 341]
[227, 415]
[303, 251]
[357, 348]
[362, 595]
[326, 301]
[308, 512]
[285, 429]
[382, 483]
[466, 321]
[518, 387]
[495, 263]
[484, 480]
[346, 280]
[411, 512]
[526, 428]
[381, 232]
[494, 339]
[531, 484]
[329, 538]
[564, 463]
[498, 458]
[293, 460]
[287, 542]
[271, 402]
[309, 323]
[589, 474]
[488, 523]
[350, 315]
[296, 386]
[310, 276]
[254, 361]
[476, 445]
[246, 488]
[446, 275]
[446, 582]
[335, 253]
[447, 505]
[524, 292]
[480, 562]
[274, 342]
[556, 371]
[552, 335]
[403, 303]
[224, 388]
[518, 527]
[266, 448]
[363, 534]
[508, 562]
[270, 516]
[414, 243]
[386, 561]
[403, 581]
[570, 492]
[331, 352]
[309, 226]
[254, 230]
[440, 218]
[548, 505]
[334, 620]
[584, 326]
[405, 273]
[284, 306]
[249, 307]
[398, 535]
[271, 252]
[544, 448]
[395, 196]
[533, 318]
[644, 444]
[465, 539]
[359, 213]
[224, 317]
[591, 442]
[284, 570]
[288, 201]
[461, 232]
[420, 192]
[570, 397]
[197, 419]
[245, 515]
[314, 568]
[479, 634]
[261, 276]
[234, 547]
[207, 357]
[621, 300]
[520, 344]
[237, 454]
[231, 254]
[597, 413]
[431, 643]
[333, 208]
[360, 635]
[594, 365]
[394, 609]
[558, 258]
[427, 537]
[620, 371]
[201, 224]
[7618, 3635]
[463, 604]
[495, 233]
[380, 510]
[296, 609]
[533, 558]
[473, 205]
[189, 299]
[373, 666]
[366, 169]
[514, 644]
[7843, 3433]
[7309, 3410]
[551, 609]
[155, 328]
[584, 286]
[522, 241]
[206, 537]
[496, 592]
[221, 507]
[220, 277]
[139, 522]
[172, 442]
[591, 519]
[173, 362]
[283, 173]
[7368, 3476]
[7210, 3484]
[196, 199]
[215, 609]
[626, 417]
[234, 214]
[212, 474]
[570, 557]
[434, 171]
[622, 568]
[531, 586]
[677, 386]
[7850, 3549]
